awards_id,Category,Year
1,Best Movie,2000
2,Best Movie,2001
3,Best Movie,2002
4,Best Movie,2003
5,Best Movie,2004
6,Best Movie,2005
7,Best Movie,2006
8,Best Movie,2007
9,Best Movie,2008
10,Best Movie,2009
11,Best Movie,2010
12,Best Movie,2011
13,Best Movie,2012
14,Best Movie,2013
15,Best Movie,2014
16,Best Movie,2015
17,Best Movie,2016
18,Best Movie,2017
19,Best Movie,2018
20,Best Movie,2019
21,Best Movie,2020
22,Best Movie,2021
23,Most Discussed Movie,2000
24,Most Discussed Movie,2001
25,Most Discussed Movie,2002
26,Most Discussed Movie,2003
27,Most Discussed Movie,2004
28,Most Discussed Movie,2005
29,Most Discussed Movie,2006
30,Most Discussed Movie,2007
31,Most Discussed Movie,2008
32,Most Discussed Movie,2009
33,Most Discussed Movie,2010
34,Most Discussed Movie,2011
35,Most Discussed Movie,2012
36,Most Discussed Movie,2013
37,Most Discussed Movie,2014
38,Most Discussed Movie,2015
39,Most Discussed Movie,2016
40,Most Discussed Movie,2017
41,Most Discussed Movie,2018
42,Most Discussed Movie,2019
43,Most Discussed Movie,2020
44,Most Discussed Movie,2021
45,Most Shared Movie,2000
46,Most Shared Movie,2001
47,Most Shared Movie,2002
48,Most Shared Movie,2003
49,Most Shared Movie,2004
50,Most Shared Movie,2005
51,Most Shared Movie,2006
52,Most Shared Movie,2007
53,Most Shared Movie,2008
54,Most Shared Movie,2009
55,Most Shared Movie,2010
56,Most Shared Movie,2011
57,Most Shared Movie,2012
58,Most Shared Movie,2013
59,Most Shared Movie,2014
60,Most Shared Movie,2015
61,Most Shared Movie,2016
62,Most Shared Movie,2017
63,Most Shared Movie,2018
64,Most Shared Movie,2019
65,Most Shared Movie,2020
66,Most Shared Movie,2021
