director_id,director_name
1,Lynn Hershman-Leeson
2,Dan Trachtenberg
3,Brad Silberling
4,Jamie Linden
5,Cameron Cairnes
6,Jim O'Hanlon
7,Erik Poppe
8,Roland Emmerich
9,Carlos Marques-Marcet
10,Bent Hamer
11,Baltasar Kormákur
12,Kevin Lima
13,Robert Moresco
14,Xiaoshuai Wang
15,Jerzy Skolimowski
16,Alison Klayman
17,Nikita Mikhalkov
18,Amir Bar-Lev
19,Brea Grant
20,Ty Roberts
21,Lotfy Nathan
22,Renny Harlin
23,Nicolai Fuglsig
24,Steve McQueen
25,Corneliu Porumboiu
26,Danny Boyle
27,Géla Babluani
28,Takashi  Miike
29,Gary Winick
30,Michael Bay
31,Oliver Hirschbiegel
32,Daniel Stamm
33,Ava DuVernay
34,Daniel Lee
35,Mikael Håfström
36,John Herzfeld
37,Richard Donner
38,Richard Jobson
39,Burr Steers
40,Davy Rothbart
41,Delphine Coulin
42,Jackie Chan
43,Sam Mendes
44,Zak Hilditch
45,Ferenc Török
46,Johanna Hamilton
47,Yen Tan
48,David Marmor
49,Sébastien Betbeder
50,Julie Delpy
51,John Singleton
52,Bernard Rose
53,Malte Ludin
54,Ramón Salazar
55,Morgan Neville
56,Iain Forsyth
57,Dinesh D'Souza
58,Kar Wai Wong
59,Seth Larney
60,Mike Mills
61,Robert Luketic
62,Jon Lucas
63,Brian Kirk
64,Alejandro González Iñárritu
65,Chris Miller
66,Michael Dunaway
67,York Alec Shackleton
68,Paul Greengrass
69,Dylan Baker
70,Zhang Ke Jia
71,Alexandre Arcady
72,Joe Swanberg
73,Abbas Kiarostami
74,Michael Winterbottom
75,Michael Ferris Gibson
76,Spike Lee
77,Anne Fletcher
78,Betty Thomas
79,Matt Ross
80,Juan Carlos Fresnadillo
81,Tom Tykwer
82,Marc Silver
83,Jordan Roberts
84,Eric Mendelsohn
85,Christopher Sun Lap Key
86,Gaël Morel
87,McG
88,Jafar Panahi
89,Gaby Dellal
90,Benoît Jacquot
91,Ki-duk Kim
92,Thom Fitzgerald
93,DJ Pooh
94,Alexis Lloyd
95,David Slade
96,Ruben Fleischer
97,Zack Snyder
98,Noam Murro
99,Demian Lichtenstein
100,Elan Bogarin
101,Rob Zombie
102,James Mangold
103,Pauline Chan
104,Claire Denis
105,Fernando Meirelles
106,Dani Menkin
107,Ilya Khrjanovsky
108,Jérôme Reybaud
109,Cristian Mungiu
110,Michael Lehmann
111,Lee Aronsohn
112,Brian Helgeland
113,Malcolm Venville
114,Abel Ferrara
115,Andrew Haigh
116,Bill Ross IV
117,Johannes Roberts
118,Carl Rinsch
119,Michael Apted
120,Andrew Nackman
121,Emad Burnat
122,Richard Loncraine
123,Danny Buday
124,Victor Levin
125,Peter Segal
126,Marc Webb
127,Jonathan Levine
128,Doug Block
129,Sophie Hyde
130,François Ozon
131,Marja Lewis Ryan
132,Toa Fraser
133,Blayne Weaver
134,Björn Stein
135,Vikram Gandhi
136,Pen-Ek Ratanaruang
137,Juan Carlos Maneglia
138,Bob Byington
139,José Padilha
140,Steve Rosenbaum
141,Jay Martin
142,Alexandre Moratto
143,Yann Demange
144,Michael Haneke
145,Patrick Vollrath
146,Hao Wu
147,Alexandre O. Philippe
148,Curtis Hanson
149,Reed Cowan
150,Peter Greenaway
151,Álex de la Iglesia
152,Jon Avnet
153,Shane Acker
154,Lab Ky Mo
155,Michael Polish
156,Tom Caltabiano
157,Aimee Lagos
158,Ramin Bahrani
159,Aaron Aites
160,Tatia Rosenthal
161,Brian Crano
162,Christian Duguay
163,Jeff Howlett
164,Marielle Heller
165,Alejandro Chomski
166,Ron Howard
167,Chris Weitz
168,Luca Guadagnino
169,Rob Meyer
170,Eran Riklis
171,Thierry Binisti
172,Gil Kenan
173,Sara Hirsh Bordo
174,Patrick Wang
175,Morgan Matthews
176,Lydia Dean Pilcher
177,Kat Coiro
178,Alain Gagnol
179,Fabrice Cazeneuve
180,Robert Zemeckis
181,Arnaud Desplechin
182,Jonas Carpignano
183,Mark Rosman
184,Jan Ole Gerster
185,Éléonore Faucher
186,Alonso Ruiz Palacios
187,Anna Axster
188,Trevor White
189,Gore Verbinski
