movieid,title,studio,runtime,rating,reldate,prodbudget
1,Fantasia 2000,Walt Disney,74,G,2000-01-01,
2,Lupin III: The Castle of Cagliostro,Eleven Arts,100,PG-13,2000-01-01,
3,My Dog Skip,Warner Bros.,95,PG,2000-01-12,7000000
4,Next Friday,Warner Bros.,98,R,2000-01-12,9500000
5,Supernova,United Artists,90,R,2000-01-14,60000000
6,Down to You,The Weinstein Company,91,PG-13,2000-01-21,9000000
7,Things You Can Tell Just by Looking at Her,GAGA,109,PG-13,2000-01-22,
8,Eye of the Beholder,Destination Film Distribution Corp.,109,R,2000-01-28,15000000
9,Grizzly Falls,Providence Entertainment,94,PG,2000-01-28,
10,Isn't She Great,Universal Pictures,95,R,2000-01-28,36000000
11,Santitos,New Yorker Films,105,R,2000-01-28,20000000
12,The Big Tease,Warner Bros.,86,R,2000-01-28,4000000
13,The Cup,Festival Media,93,G,2000-01-28,12000000
14,Gun Shy,Hollywood Pictures Home Video,101,R,2000-02-04,60000000
15,Knockout,C.E.O. Films,99,PG-13,2000-02-04,20000000
16,Scream 3,Dimension Films,116,R,2000-02-04,40000000
17,Cotton Mary,Artistic License,124,R,2000-02-11,20000000
18,Sex: The Annabel Chong Story,Strand Releasing,,,2000-02-11,1000000
19,Snow Day,Paramount Pictures,89,PG,2000-02-11,13000000
20,The Beach,20th Century Fox,119,R,2000-02-11,50000000
21,The Tigger Movie,Walt Disney,77,G,2000-02-11,20000000
22,Beautiful People,Trimark Pictures,107,R,2000-02-18,18000000
23,Boiler Room,GAGA,120,R,2000-02-18,9000000
24,Hanging Up,Sony Pictures,94,PG-13,2000-02-18,40000000
25,Not One Less,Sony Pictures,106,G,2000-02-18,
26,Pitch Black,USA Films,109,Unrated,2000-02-18,23000000
27,The Life and Times of Hank Greenberg,Cowboy Booking International,90,PG,2000-02-18,1000000
28,The Whole Nine Yards,Warner Bros.,98,R,2000-02-18,24000000
29,Claire Dolan,New Yorker Films,95,,2000-02-25,12000000
30,Judy Berlin,Image Entertainment,93,,2000-02-25,20000000
31,Mifune's Last Song,Sony Pictures,98,R,2000-02-25,
32,Reindeer Games,Dimension Home Video,104,R,2000-02-25,36000000
33,The Closer You Get,Twentieth Television,90,PG-13,2000-02-25,18000000
34,Theeviravaathi: The Terrorist,Phaedra Cinema,95,Unrated,2000-02-25,
35,Wonder Boys,Paramount Pictures,107,R,2000-02-25,35000000
36,3 Strikes,Metro-Goldwyn-Mayer,82,R,2000-03-01,4000000
37,Drowning Mona,Sony Pictures,96,PG-13,2000-03-03,16000000
38,Ghost Dog: The Way of the Samurai,Artisan Entertainment,116,R,2000-03-03,2000000
39,The Next Best Thing,Paramount Pictures,108,PG-13,2000-03-03,25000000
40,What Planet Are You From?,Sony Pictures,105,R,2000-03-03,50000000
41,Condo Painting,USA Films,,,2000-03-10,20000000
42,Deterrence,Paramount Pictures,104,R,2000-03-10,800000
43,Mission to Mars,Walt Disney,114,PG,2000-03-10,90000000
44,The Ninth Gate,Artisan Entertainment,133,R,2000-03-10,38000000
45,Beyond the Mat,Universal Pictures,102,Unrated,2000-03-17,
46,Erin Brockovich,Universal Pictures,130,R,2000-03-17,50000000
47,Final Destination,Warner Bros.,98,R,2000-03-17,23000000
48,Les convoyeurs attendent,Samuel Goldwyn Films,94,,2000-03-17,18000000
49,Soft Fruit,20th Century Fox,101,R,2000-03-17,20000000
50,The Disappearance of Finbar,,120,,2000-03-17,
51,Romeo Must Die,Warner Bros.,115,R,2000-03-22,25000000
52,Winter Sleepers,WinStar Cinema,122,,2000-03-22,20000000
53,Buddy Boy,Fine Line Features,105,R,2000-03-24,21000000
54,Here on Earth,20th Century Fox,96,PG-13,2000-03-24,15000000
55,Such a Long Journey,Shooting Gallery,113,,2000-03-24,
56,The Color of Paradise,Sony Pictures,90,PG,2000-03-24,12000000
57,Waking the Dead,USA Films,105,R,2000-03-24,20000000
58,Whatever It Takes,Sony Pictures,94,PG-13,2000-03-24,15000000
59,X,Manga Video,97,R,2000-03-24,21000000
60,Beau Travail,New Yorker Films,90,Not Rated,2000-03-31,12000000
61,High Fidelity,Walt Disney,113,R,2000-03-31,20000000
62,Price of Glory,Warner Bros.,118,PG-13,2000-03-31,12000000
63,The Road to El Dorado,DreamWorks Distribution,89,PG,2000-03-31,95000000
64,The Skulls,20th Century Fox,106,PG-13,2000-03-31,15000000
65,Black and White,Sony Pictures,98,NC-17,2000-04-05,12000000
66,Est - Ouest,Sony Pictures,121,PG-13,2000-04-07,
