movieid,awardsid,Rank
1,23,63
2,1,77
4,45,48
5,23,95
7,1,43
13,1,90
16,23,11
18,45,90
20,23,21
22,1,25
25,1,73
26,23,7
27,1,47
28,23,46
32,45,88
35,1,72
37,23,88
38,23,80
39,23,69
40,23,70
43,23,60
44,23,25
45,1,71
46,1,66
47,23,8
48,1,64
51,23,68
55,1,62
56,1,18
59,45,86
60,1,3
61,1,24
63,23,35
67,1,54
69,23,87
74,1,15
76,23,3
77,1,56
78,45,85
79,1,20
80,1,100
81,1,52
82,45,18
84,1,49
88,1,92
89,1,99
90,1,42
91,23,94
94,23,16
99,23,86
101,23,1
108,1,13
111,23,6
114,1,88
116,1,95
117,23,100
118,1,89
120,23,31
122,23,62
123,1,97
124,23,13
125,45,100
126,1,94
129,1,37
130,45,77
131,23,79
134,1,29
136,23,51
140,1,85
141,45,81
142,1,96
143,1,35
144,1,38
145,1,75
146,23,61
148,23,34
149,1,5
150,23,44
151,1,27
152,23,20
154,23,93
155,23,43
158,1,17
159,23,12
160,1,61
161,1,36
163,1,40
167,1,65
168,23,4
169,23,85
172,1,82
174,23,42
175,23,30
177,23,54
178,23,50
180,1,48
181,45,66
182,1,6
183,1,79
185,23,84
186,23,33
189,1,70
190,1,87
192,1,76
193,45,65
194,45,76
195,23,77
197,1,19
199,1,81
200,23,78
202,1,60
204,1,78
205,23,18
206,1,74
208,45,23
211,45,1
219,1,51
220,23,91
221,1,41
222,1,69
223,23,92
227,1,98
228,45,75
229,1,53
230,45,97
231,23,90
232,1,33
233,1,4
234,1,11
236,23,83
240,1,32
241,1,26
242,1,67
244,23,23
246,23,82
251,45,46
252,23,99
253,45,4
254,1,31
257,1,91
258,23,29
260,1,83
261,23,98
264,23,49
266,1,68
267,23,2
268,1,46
269,1,22
270,1,2
271,45,63
272,1,59
274,45,73
276,23,76
278,1,39
281,23,89
282,1,12
285,23,75
286,1,55
289,1,10
291,1,30
292,23,48
293,1,16
295,45,36
298,45,72
304,23,28
305,1,50
306,1,80
307,23,97
309,1,44
310,23,36
311,23,74
315,23,27
317,1,9
318,23,64
319,23,10
322,1,14
323,23,40
325,23,38
326,23,73
327,1,86
329,23,5
332,1,21
333,1,1
334,23,56
335,23,96
339,23,39
340,23,32
341,1,34
342,1,93
344,23,57
345,23,81
346,23,26
347,1,8
348,1,63
349,23,53
351,23,72
352,23,22
353,1,45
354,23,37
355,1,28
358,23,71
359,45,79
361,1,7
362,1,23
363,1,84
365,24,68
367,2,47
368,24,81
370,2,80
371,2,65
372,24,12
374,2,88
378,2,36
382,2,12
383,46,89
387,24,34
388,2,94
389,24,30
390,2,84
391,24,94
393,2,41
395,24,85
397,24,56
399,24,93
400,2,30
402,2,45
403,2,76
410,24,92
412,2,23
418,2,79
419,2,68
420,24,79
421,24,45
424,2,29
425,24,75
429,2,22
430,2,26
432,2,85
436,24,67
438,24,59
441,46,33
442,24,44
444,2,19
447,24,33
450,24,66
455,2,15
458,24,18
459,2,60
464,24,73
465,24,32
470,2,38
472,24,31
475,2,9
478,24,41
481,2,59
486,2,24
487,24,13
488,2,18
490,2,48
491,2,73
492,24,23
494,2,87
497,46,4
499,46,22
502,24,24
506,24,99
507,24,84
508,2,53
510,24,72
512,2,34
514,2,58
515,24,29
524,24,8
526,46,30
527,2,42
528,24,16
531,2,27
533,46,70
534,2,83
536,24,78
537,24,25
538,2,82
541,24,89
542,24,83
544,2,96
545,24,39
546,46,81
548,24,53
549,46,50
550,2,7
551,2,86
552,24,5
555,2,6
556,2,13
559,2,93
563,24,28
566,24,63
567,2,1
568,46,2
569,24,40
570,24,62
573,24,43
574,2,40
576,24,42
578,24,82
579,24,55
580,2,63
582,2,39
585,2,77
586,24,76
588,24,65
589,2,21
590,24,57
592,24,58
596,2,20
598,24,26
599,46,15
600,2,52
602,2,69
603,2,74
604,2,75
605,46,94
614,24,71
617,2,10
618,24,54
620,2,67
621,2,11
624,2,43
625,2,32
626,46,82
627,24,64
629,24,17
630,2,37
631,2,56
634,2,57
636,24,88
637,24,47
638,2,99
639,2,50
640,2,3
642,24,98
644,2,35
645,2,91
646,2,14
648,2,49
652,2,71
653,46,93
655,24,61
656,46,18
657,2,4
660,2,25
663,46,52
664,2,92
665,2,95
668,24,46
673,24,10
674,2,72
675,2,98
676,2,97
678,24,96
681,2,31
682,46,59
683,2,90
684,24,97
690,46,45
693,24,2
697,46,46
702,24,87
703,2,44
705,2,8
706,2,28
708,24,91
709,2,62
714,2,33
717,2,89
718,2,46
719,2,17
720,2,64
725,2,70
726,2,54
727,2,51
728,2,16
729,24,95
731,2,55
732,24,19
734,2,66
735,2,2
736,2,81
737,2,78
738,46,62
739,24,49
740,24,35
741,24,90
742,24,86
743,46,76
744,2,5
745,2,100
746,2,61
749,24,60
750,3,21
756,3,35
758,3,50
760,47,85
763,25,28
764,25,59
767,25,5
769,3,55
770,47,91
771,25,46
772,25,63
773,3,77
775,3,12
777,47,90
779,25,90
781,25,94
785,25,89
787,25,72
789,3,48
790,25,62
798,3,49
799,25,52
806,25,58
809,25,84
812,25,9
813,3,99
814,3,29
815,25,8
817,3,4
818,25,26
824,3,62
826,25,71
828,25,25
830,3,36
831,3,85
832,3,5
837,3,69
840,25,79
842,25,70
843,25,49
855,3,42
857,25,93
858,3,30
860,25,64
862,3,43
864,3,51
865,25,32
868,3,92
872,25,29
873,47,66
874,3,26
877,3,73
881,3,74
885,3,15
888,3,79
889,25,87
891,47,7
892,25,60
894,25,2
895,3,60
896,3,24
897,3,61
901,25,86
902,3,37
903,25,34
904,3,63
905,3,96
908,3,52
910,3,100
912,3,2
922,25,23
923,25,12
926,47,82
