movieid,genreid
1,11
1,15
1,4
1,10
2,3
2,11
2,4
2,10
3,9
3,23
3,10
4,6
5,21
5,25
6,9
6,6
6,20
7,9
7,20
8,17
8,25
9,3
10,5
10,6
10,20
11,9
11,6
12,6
13,23
13,6
14,6
14,20
14,7
15,1
15,9
16,17
16,25
16,14
16,6
17,9
18,8
19,3
19,6
19,20
19,10
20,3
20,9
20,25
21,6
21,4
21,10
22,6
23,9
23,25
23,7
24,9
24,6
25,9
25,6
26,1
26,21
26,25
26,14
27,5
27,23
27,8
28,3
28,9
28,6
28,20
28,7
29,9
30,9
30,6
31,9
31,6
31,20
32,1
32,9
32,25
32,7
33,6
34,9
35,9
35,6
36,6
37,17
37,6
37,7
38,9
38,25
38,7
39,6
39,20
40,21
40,6
41,8
42,9
42,25
43,3
43,21
43,9
43,25
44,9
44,17
44,25
44,11
44,14
45,5
45,23
45,8
46,5
46,9
46,20
47,25
47,14
48,9
48,6
49,9
49,6
50,9
50,17
51,1
51,9
51,25
51,20
51,7
52,9
52,25
52,20
53,9
53,25
54,9
54,20
56,9
56,10
57,9
57,17
57,25
57,20
58,9
58,6
58,20
59,1
59,25
59,11
59,14
59,4
60,9
61,9
61,6
61,20
61,15
62,9
62,23
63,3
63,6
63,20
63,4
63,10
64,1
64,9
64,25
64,14
64,7
65,9
65,25
65,15
66,9
66,13
66,20
67,9
68,6
68,20
69,23
69,6
70,9
71,9
71,6
71,20
72,1
72,9
72,25
72,26
73,23
73,8
74,5
74,15
74,8
75,9
76,9
76,25
76,7
77,9
77,6
78,9
78,6
78,20
79,9
80,8
80,2
81,8
82,1
82,9
82,25
83,9
83,6
83,7
84,9
84,7
85,9
85,7
86,9
86,17
86,25
87,9
88,9
88,23
88,20
89,9
89,13
89,20
90,9
90,17
91,1
91,9
91,26
92,9
92,6
92,20
93,9
93,6
94,21
94,9
94,25
95,9
95,6
96,6
96,10
97,9
97,6
98,9
99,9
99,6
99,20
100,6
101,1
101,3
101,9
101,13
102,9
102,6
102,15
103,9
104,9
105,9
105,6
105,20
106,6
106,20
107,23
107,8
108,5
108,9
108,8
109,9
110,9
111,1
111,21
112,9
112,15
113,6
113,20
114,9
114,25
114,20
115,6
116,9
117,6
117,7
118,8
119,9
119,11
119,10
119,16
119,22
120,3
120,25
120,4
120,10
121,9
122,3
122,6
123,6
123,7
124,1
124,3
124,25
125,9
125,6
126,9
126,15
126,8
127,9
127,6
128,9
128,17
128,20
129,1
129,3
129,6
129,27
130,6
131,1
131,6
131,7
132,13
132,8
133,3
133,9
133,13
133,26
133,10
135,8
136,1
136,25
136,7
137,9
137,15
138,6
138,20
138,16
139,8
140,9
140,13
140,20
140,26
141,9
141,6
141,20
142,9
142,26
142,15
143,9
143,17
144,9
145,9
145,20
145,26
146,1
146,25
146,7
147,6
148,3
148,21
148,4
149,6
149,4
149,10
150,6
151,9
152,1
152,9
152,26
153,17
153,6
153,7
154,3
154,11
154,6
154,4
154,10
155,1
155,3
155,9
155,25
155,20
156,9
157,9
157,6
157,20
158,6
159,6
160,9
160,6
161,8
162,11
162,6
162,10
163,9
163,6
164,9
164,25
165,9
165,6
165,15
166,25
166,20
167,9
168,1
168,21
168,25
169,9
169,17
169,25
170,9
171,9
171,20
172,8
173,9
173,25
173,7
174,6
174,20
175,1
175,3
175,4
175,10
176,5
176,8
177,9
177,17
177,25
177,14
178,11
178,10
179,9
179,6
180,9
180,6
180,20
181,21
181,6
182,9
183,9
184,6
185,9
185,6
185,20
185,15
186,1
186,21
186,25
186,14
187,17
187,14
187,6
188,6
188,7
189,3
189,25
190,9
190,6
190,20
191,9
192,9
192,20
192,26
193,9
193,20
194,9
194,20
195,25
195,14
196,1
196,6
197,13
197,15
197,8
198,9
198,6
199,9
199,6
199,20
199,7
200,23
200,6
201,1
201,3
201,21
201,25
201,14
202,9
202,7
203,5
203,9
203,20
204,5
204,15
204,8
205,21
205,25
205,11
205,14
206,6
206,8
207,8
208,23
208,6
210,9
211,9
211,6
211,20
212,9
212,20
212,7
212,15
213,6
213,20
214,9
214,20
215,1
215,25
216,6
216,7
217,9
218,9
219,8
220,1
220,21
220,11
221,9
222,9
223,6
223,20
224,9
225,1
225,9
225,7
225,15
226,8
227,25
227,6
227,20
227,7
228,9
228,20
229,9
230,17
230,25
230,7
231,1
231,9
231,25
231,7
232,9
233,9
233,15
234,13
234,26
234,8
235,9
235,6
236,1
236,25
236,7
237,9
237,25
238,9
238,6
238,15
239,5
239,9
239,26
240,9
241,26
241,8
242,9
242,25
243,9
243,6
244,9
244,16
245,9
245,6
246,9
247,20
247,16
248,1
248,11
248,6
250,9
250,26
251,9
251,25
251,7
252,17
252,25
252,14
253,6
253,20
254,6
255,8
256,9
256,6
257,9
257,23
258,9
258,23
259,9
259,23
259,6
259,20
260,8
261,9
261,6
261,15
262,9
262,6
262,20
263,4
263,22
264,1
264,3
264,25
264,11
264,4
265,1
265,9
265,25
265,7
266,6
266,20
267,9
268,9
268,13
269,9
270,9
270,20
270,15
271,9
271,7
272,9
272,6
272,15
273,9
274,9
274,6
274,20
275,9
275,6
276,9
276,25
276,14
277,9
278,9
279,9
279,25
280,6
281,11
281,6
281,20
282,15
282,8
283,6
283,20
284,23
284,6
284,10
285,9
285,20
286,1
286,6
287,11
287,14
287,6
287,20
288,9
288,25
288,7
289,8
290,9
290,6
291,9
291,26
292,17
292,25
292,14
292,7
293,9
294,6
294,20
295,6
295,7
296,9
296,7
297,9
297,6
298,3
298,11
298,14
298,6
298,10
299,25
300,9
300,6
300,20
301,9
301,6
302,9
302,6
303,9
304,1
304,3
304,6
304,7
305,9
305,26
306,8
307,9
307,23
307,20
308,9
309,9
309,20
310,11
310,6
310,20
311,9
312,5
312,9
313,1
313,6
313,7
314,8
315,1
315,21
315,25
316,6
316,20
317,9
318,9
318,20
319,11
319,6
319,10
320,9
320,6
321,9
322,13
322,23
322,8
323,3
323,6
323,4
323,10
324,9
324,20
325,1
325,21
325,25
326,6
326,10
327,5
327,9
327,13
327,20
328,9
328,26
329,9
329,17
329,25
329,11
330,9
331,9
331,20
332,9
333,1
333,3
333,9
333,11
333,20
334,1
334,3
334,11
335,1
335,3
335,9
335,25
335,20
336,9
336,6
337,9
337,6
338,1
338,3
338,25
339,9
339,17
339,20
340,1
340,21
340,17
340,6
341,5
341,9
342,3
342,11
342,6
342,4
342,10
343,9
344,11
344,6
344,20
345,9
346,17
346,25
346,14
347,5
347,9
348,3
348,9
349,1
349,14
349,20
350,1
350,25
350,6
350,7
351,1
351,6
351,7
352,3
352,6
352,7
352,15
353,9
353,6
354,9
354,11
354,6
354,20
355,9
355,20
356,9
356,20
356,27
357,6
358,9
358,6
358,20
358,26
359,9
359,13
359,25
360,5
360,9
360,20
361,9
361,25
361,7
362,9
362,20
362,16
363,9
363,14
364,9
364,20
364,27
365,9
365,25
366,1
366,25
366,6
366,7
367,9
367,25
367,6
367,7
368,9
368,20
368,15
369,5
369,8
370,9
370,6
370,20
371,8
372,25
372,7
373,9
374,9
374,17
374,25
374,7
375,9
375,15
376,6
376,7
377,6
377,20
378,9
378,20
379,6
379,20
380,25
381,17
381,6
381,20
382,9
382,20
383,21
383,9
383,25
383,11
384,9
384,6
384,20
385,9
386,9
386,17
386,25
387,25
387,14
388,9
388,20
389,25
389,7
390,9
391,6
391,20
391,7
392,9
393,9
393,6
393,20
394,6
395,11
395,6
395,20
396,21
396,17
396,6
396,4
396,10
397,9
397,6
397,20
398,9
398,11
398,6
398,20
399,1
399,25
399,6
399,7
400,9
400,20
401,11
401,6
401,20
401,4
402,8
403,9
403,20
404,9
404,6
404,20
405,9
405,6
405,20
406,6
406,10
407,25
407,6
408,9
408,17
408,25
408,7
408,15
409,8
410,1
410,3
410,6
410,20
410,7
411,9
411,6
411,20
412,8
413,1
413,9
413,25
413,7
414,9
415,6
415,20
416,9
416,17
416,11
416,20
417,6
417,20
418,9
418,6
418,20
419,9
419,6
420,9
420,6
420,20
421,9
421,13
421,25
421,26
422,1
422,9
422,25
422,6
422,7
423,3
423,8
424,17
424,25
425,6
425,20
425,7
426,6
426,20
427,9
427,6
428,17
428,6
429,9
429,25
430,9
430,6
431,6
431,20
432,1
432,3
432,21
432,6
432,10
433,9
433,25
