movieid,title,awards,cast,director,genre
1,Fantasia 2000,#63MostDiscussedMovieof2000,"James Levine,Steve Martin",Don Hahn,"Fantasy,Music,Animation,Family"
2,Lupin III: The Castle of Cagliostro,#77BestMovieof2000,"Eiko Masuyama,GorÃ´ Naya,IchirÃ´ Nagai,Kiyoshi Kobayashi,KÃ´hei Miyauchi,Makio Inoue,Sumi Shimamoto,Tadamichi Tsuneizumi,TarÃ´ Ishida,Yasuo Yamada",Hayao Miyazaki,"Adventure,Fantasy,Animation,Family"
3,My Dog Skip,,"Diane Lane,Frankie Muniz,Kevin Bacon",Jay Russell,"Drama,Sport,Family"
4,Next Friday,#48MostSharedMovieof2000,Ice Cube,Steve Carr,Comedy
5,Supernova,#95MostDiscussedMovieof2000,"James Spader,Peter Facinelli,Robin Tunney",Francis Ford Coppola,"Sci-Fi,Thriller"
6,Down to You,,"Freddie Prinze Jr.,Julia Stiles",Kris Isacsson,"Drama,Comedy,Romance"
7,Things You Can Tell Just by Looking at Her,#43BestMovieof2000,"Amy Brenneman,Calista Flockhart,Cameron Diaz,Glenn Close,Gregory Hines,Holly Hunter,Kathy Baker,Matt Craven,Miguel Sandoval,Valeria Golino",Rodrigo GarcÃ­a,"Drama,Romance"
8,Eye of the Beholder,,"Ashley Judd,Ewan McGregor",Stephan Elliott,"Mystery,Thriller"
9,Grizzly Falls,,,Stewart Raffill,Adventure
10,Isn't She Great,,"Bette Midler,Nathan Lane",Andrew Bergman,"Biography,Comedy,Romance"
11,Santitos,,,Alejandro Springall,"Drama,Comedy"
12,The Big Tease,,,Kevin Allen,Comedy
13,The Cup,#90BestMovieof2000,,Khyentse Norbu,"Sport,Comedy"
14,Gun Shy,,"Liam Neeson,Sandra Bullock",Eric Blakeney,"Comedy,Romance,Crime"
15,Knockout,,,Lorenzo Doumani,"Action,Drama"
16,Scream 3,"#11MostDiscussedMovieof2000 , #91MostSharedMovieof2000","Courteney Cox,Neve Campbell",Wes Craven,"Mystery,Thriller,Horror,Comedy"
17,Cotton Mary,,,Ismail Merchant,Drama
18,Sex: The Annabel Chong Story,#90MostSharedMovieof2000,Annabel Chong,Gough Lewis,Documentary
19,Snow Day,,"Chevy Chase,Schuyler Fisk",Chris Koch,"Adventure,Comedy,Romance,Family"
20,The Beach,"#21MostDiscussedMovieof2000 , #26MostSharedMovieof2000",Leonardo DiCaprio,Danny Boyle,"Adventure,Drama,Thriller"
21,The Tigger Movie,,Jim Cummings,Jun Falkenstein,"Comedy,Animation,Family"
22,Beautiful People,#25BestMovieof2000,,Jasmin Dizdar,Comedy
23,Boiler Room,,Giovanni Ribisi,Ben Younger,"Drama,Thriller,Crime"
24,Hanging Up,,"Diane Keaton,Lisa Kudrow,Meg Ryan",Diane Keaton,"Drama,Comedy"
25,Not One Less,#73BestMovieof2000,"Huike Zhang,Minzhi Wei,Zhenda Tian",Yimou Zhang,"Drama,Comedy"
26,Pitch Black,"#7MostDiscussedMovieof2000 , #57MostSharedMovieof2000","Cole Hauser,Radha Mitchell,Vin Diesel",David Twohy,"Action,Sci-Fi,Thriller,Horror"
27,The Life and Times of Hank Greenberg,#47BestMovieof2000,,Aviva Kempner,"Biography,Sport,Documentary"
28,The Whole Nine Yards,"#46MostDiscussedMovieof2000 , #89MostSharedMovieof2000","Bruce Willis,Matthew Perry",Jonathan Lynn,"Adventure,Drama,Comedy,Romance,Crime"
29,Claire Dolan,,,Lodge Kerrigan,Drama
30,Judy Berlin,,,Eric Mendelsohn,"Drama,Comedy"
31,Mifune's Last Song,,,SÃ¸ren Kragh-Jacobsen,"Drama,Comedy,Romance"
32,Reindeer Games,#88MostSharedMovieof2000,"Ben Affleck,Charlize Theron",John Frankenheimer,"Action,Drama,Thriller,Crime"
33,The Closer You Get,,,Aileen Ritchie,Comedy
34,Theeviravaathi: The Terrorist,,,Santosh Sivan,Drama
35,Wonder Boys,#72BestMovieof2000,"Michael Douglas,Tobey Maguire",Curtis Hanson,"Drama,Comedy"
36,3 Strikes,,Brian Hooks,DJ Pooh,Comedy
37,Drowning Mona,#88MostDiscussedMovieof2000,"Bette Midler,Danny DeVito",Nick Gomez,"Mystery,Comedy,Crime"
38,Ghost Dog: The Way of the Samurai,"#80MostDiscussedMovieof2000 , #56MostSharedMovieof2000","Forest Whitaker,Henry Silva",Jim Jarmusch,"Drama,Thriller,Crime"
39,The Next Best Thing,#69MostDiscussedMovieof2000,"Madonna,Rupert Everett",John Schlesinger,"Comedy,Romance"
40,What Planet Are You From?,#70MostDiscussedMovieof2000,"Annette Bening,Garry Shandling",Mike Nichols,"Sci-Fi,Comedy"
41,Condo Painting,,,John McNaughton,Documentary
42,Deterrence,,,Rod Lurie,"Drama,Thriller"
43,Mission to Mars,"#60MostDiscussedMovieof2000 , #39MostSharedMovieof2000","Gary Sinise,Tim Robbins",Brian De Palma,"Adventure,Sci-Fi,Drama,Thriller"
44,The Ninth Gate,"#25MostDiscussedMovieof2000 , #87MostSharedMovieof2000","Frank Langella,Johnny Depp",Roman Polanski,"Drama,Mystery,Thriller,Fantasy,Horror"
45,Beyond the Mat,#71BestMovieof2000,"Jake Roberts,Mick Foley,Terry Funk",Barry W. Blaustein,"Biography,Sport,Documentary"
46,Erin Brockovich,"#66BestMovieof2000 , #45MostDiscussedMovieof2000 , #62MostSharedMovieof2000","Albert Finney,Julia Roberts",Steven Soderbergh,"Biography,Drama,Romance"
47,Final Destination,"#8MostDiscussedMovieof2000 , #19MostSharedMovieof2000","Ali Larter,Devon Sawa",James Wong,"Thriller,Horror"
48,Les convoyeurs attendent,#64BestMovieof2000,,BenoÃ®t Mariage,"Drama,Comedy"
49,Soft Fruit,,,Christina Andreef,"Drama,Comedy"
50,The Disappearance of Finbar,,,Sue Clayton,"Drama,Mystery"
51,Romeo Must Die,"#68MostDiscussedMovieof2000 , #55MostSharedMovieof2000","Aaliyah,Jet Li",Andrzej Bartkowiak,"Action,Drama,Thriller,Romance,Crime"
52,Winter Sleepers,,"Floriane Daniel,Heino Ferch,Josef Bierbichler,Laura Tonke,Marie-Lou Sellem,Ulrich Matthes",Tom Tykwer,"Drama,Thriller,Romance"
53,Buddy Boy,,,Mark Hanlon,"Drama,Thriller"
