movieid,title,studio,runtime,rating,reldate
1,Fantasia 2000,Walt Disney,74,G,2000-01-01
2,Lupin III: The Castle of Cagliostro,Eleven Arts,100,PG-13,2000-01-01
3,My Dog Skip,Warner Bros.,95,PG,2000-01-12
4,Next Friday,Warner Bros.,98,R,2000-01-12
5,Supernova,United Artists,90,R,2000-01-14
6,Down to You,The Weinstein Company,91,PG-13,2000-01-21
7,Things You Can Tell Just by Looking at Her,GAGA,109,PG-13,2000-01-22
8,Eye of the Beholder,Destination Film Distribution Corp.,109,R,2000-01-28
9,Grizzly Falls,Providence Entertainment,94,PG,2000-01-28
10,Isn't She Great,Universal Pictures,95,R,2000-01-28
11,Santitos,New Yorker Films,105,R,2000-01-28
12,The Big Tease,Warner Bros.,86,R,2000-01-28
13,The Cup,Festival Media,93,G,2000-01-28
14,Gun Shy,Hollywood Pictures Home Video,101,R,2000-02-04
15,Knockout,C.E.O. Films,99,PG-13,2000-02-04
16,Scream 3,Dimension Films,116,R,2000-02-04
17,Cotton Mary,Artistic License,124,R,2000-02-11
18,Sex: The Annabel Chong Story,Strand Releasing,,,2000-02-11
19,Snow Day,Paramount Pictures,89,PG,2000-02-11
20,The Beach,20th Century Fox,119,R,2000-02-11
21,The Tigger Movie,Walt Disney,77,G,2000-02-11
22,Beautiful People,Trimark Pictures,107,R,2000-02-18
23,Boiler Room,GAGA,120,R,2000-02-18
24,Hanging Up,Sony Pictures,94,PG-13,2000-02-18
25,Not One Less,Sony Pictures,106,G,2000-02-18
26,Pitch Black,USA Films,109,Unrated,2000-02-18
27,The Life and Times of Hank Greenberg,Cowboy Booking International,90,PG,2000-02-18
28,The Whole Nine Yards,Warner Bros.,98,R,2000-02-18
29,Claire Dolan,New Yorker Films,95,,2000-02-25
30,Judy Berlin,Image Entertainment,93,,2000-02-25
31,Mifune's Last Song,Sony Pictures,98,R,2000-02-25
32,Reindeer Games,Dimension Home Video,104,R,2000-02-25
33,The Closer You Get,Twentieth Television,90,PG-13,2000-02-25
34,Theeviravaathi: The Terrorist,Phaedra Cinema,95,Unrated,2000-02-25
35,Wonder Boys,Paramount Pictures,107,R,2000-02-25
36,3 Strikes,Metro-Goldwyn-Mayer,82,R,2000-03-01
37,Drowning Mona,Sony Pictures,96,PG-13,2000-03-03
38,Ghost Dog: The Way of the Samurai,Artisan Entertainment,116,R,2000-03-03
39,The Next Best Thing,Paramount Pictures,108,PG-13,2000-03-03
40,What Planet Are You From?,Sony Pictures,105,R,2000-03-03
41,Condo Painting,USA Films,,,2000-03-10
42,Deterrence,Paramount Pictures,104,R,2000-03-10
43,Mission to Mars,Walt Disney,114,PG,2000-03-10
44,The Ninth Gate,Artisan Entertainment,133,R,2000-03-10
45,Beyond the Mat,Universal Pictures,102,Unrated,2000-03-17
46,Erin Brockovich,Universal Pictures,130,R,2000-03-17
47,Final Destination,Warner Bros.,98,R,2000-03-17
48,Les convoyeurs attendent,Samuel Goldwyn Films,94,,2000-03-17
49,Soft Fruit,20th Century Fox,101,R,2000-03-17
50,The Disappearance of Finbar,,120,,2000-03-17
51,Romeo Must Die,Warner Bros.,115,R,2000-03-22
52,Winter Sleepers,WinStar Cinema,122,,2000-03-22
53,Buddy Boy,Fine Line Features,105,R,2000-03-24
54,Here on Earth,20th Century Fox,96,PG-13,2000-03-24
55,Such a Long Journey,Shooting Gallery,113,,2000-03-24
56,The Color of Paradise,Sony Pictures,90,PG,2000-03-24
57,Waking the Dead,USA Films,105,R,2000-03-24
58,Whatever It Takes,Sony Pictures,94,PG-13,2000-03-24
59,X,Manga Video,97,R,2000-03-24
60,Beau Travail,New Yorker Films,90,Not Rated,2000-03-31
61,High Fidelity,Walt Disney,113,R,2000-03-31
62,Price of Glory,Warner Bros.,118,PG-13,2000-03-31
63,The Road to El Dorado,DreamWorks Distribution,89,PG,2000-03-31
64,The Skulls,20th Century Fox,106,PG-13,2000-03-31
65,Black and White,Sony Pictures,98,NC-17,2000-04-05
66,Est - Ouest,Sony Pictures,121,PG-13,2000-04-07
67,Joe Gould's Secret,USA Films,104,R,2000-04-07
68,Me Myself I,Sony Pictures,104,TV-MA,2000-04-07
69,Ready to Rumble,Warner Bros.,107,PG-13,2000-04-07
70,Restaurant,York Entertainment,107,R,2000-04-07
71,Return to Me,Metro-Goldwyn-Mayer,115,PG,2000-04-07
72,Rules of Engagement,Paramount Pictures,128,R,2000-04-07
73,Southpaw,Shooting Gallery,77,,2000-04-07
74,The Filth and the Fury,Fine Line Features,108,TV-MA,2000-04-07
