movieid,salesid
3,1
4,2
5,3
6,4
8,5
10,6
11,7
12,8
13,9
14,10
15,11
16,12
17,13
18,14
19,15
20,16
21,17
22,18
23,19
24,20
26,21
27,22
28,23
29,24
30,25
32,26
33,27
35,28
36,29
37,30
38,31
39,32
40,33
41,34
42,35
43,36
44,37
46,38
47,39
48,40
49,41
51,42
52,43
53,44
54,45
56,46
57,47
59,48
60,49
61,50
62,51
63,52
64,53
65,54
67,55
69,56
70,57
71,58
72,59
73,60
74,61
75,62
76,63
78,64
79,65
80,66
81,67
82,68
83,69
84,70
85,71
86,72
88,73
89,74
90,75
91,76
92,77
93,78
94,79
95,80
96,81
97,82
99,83
100,84
101,85
102,86
103,87
106,88
109,89
110,90
111,91
112,92
113,93
114,94
115,95
116,96
117,97
120,98
121,99
122,100
123,101
126,102
128,103
129,104
131,105
132,106
133,107
135,108
137,109
138,110
139,111
141,112
144,113
146,114
147,115
148,116
149,117
150,118
151,119
152,120
153,121
154,122
155,123
157,124
158,125
159,126
160,127
162,128
164,129
165,130
166,131
168,132
169,133
171,134
172,135
174,136
176,137
177,138
178,139
179,140
180,141
181,142
182,143
183,144
184,145
185,146
186,147
187,148
188,149
189,150
190,151
191,152
194,153
195,154
198,155
199,156
200,157
201,158
203,159
204,160
205,161
206,162
207,163
210,164
212,165
215,166
216,167
219,168
220,169
222,170
223,171
224,172
225,173
226,174
227,175
228,176
229,177
230,178
231,179
233,180
234,181
236,182
237,183
238,184
239,185
240,186
241,187
242,188
243,189
244,190
246,191
247,192
248,193
249,194
250,195
251,196
252,197
253,198
254,199
255,200
256,201
257,202
258,203
259,204
261,205
262,206
265,207
266,208
267,209
268,210
269,211
270,212
271,213
272,214
273,215
275,216
276,217
277,218
278,219
279,220
280,221
281,222
282,223
283,224
284,225
286,226
287,227
288,228
289,229
290,230
291,231
292,232
293,233
294,234
295,235
296,236
297,237
298,238
299,239
302,240
303,241
304,242
305,243
306,244
307,245
308,246
309,247
310,248
311,249
312,250
313,251
315,252
316,253
317,254
318,255
319,256
321,257
322,258
325,259
326,260
327,261
328,262
329,263
331,264
332,265
333,266
335,267
337,268
338,269
339,270
340,271
341,272
342,273
343,274
344,275
345,276
346,277
347,278
348,279
349,280
351,281
352,282
353,283
354,284
355,285
356,286
357,287
359,288
360,289
361,290
363,291
364,292
365,293
366,294
368,295
373,296
374,297
375,298
377,299
379,300
380,301
381,302
383,303
384,304
385,305
386,306
387,307
389,308
390,309
391,310
393,311
394,312
395,313
396,314
397,315
398,316
399,317
400,318
401,319
405,320
406,321
407,322
408,323
409,324
410,325
411,326
413,327
