year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,Unnamed: 8,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2000,January 1st,Bakha Satang,Drama,76576.0,,76576.0,,,,,,129.0,,Contemporary Fiction,https://www.the-numbers.com/movie/Bakha-Satang-(S-Korea)
2001,January 12th,Antitrust,Thriller/Suspense,6900000.0,10965209.0,17865209.0,30000000.0,,5486209.0,2433.0,3.1,,,Contemporary Fiction,https://www.the-numbers.com/movie/Antitrust
2000,January 28th,Santitos,,,378562.0,,,,,,,105.0,,,https://www.the-numbers.com/movie/Santitos
2002,2002 (Wide) by ,Frank McKlusky C.I.,,,,,,,,,,,,,https://www.the-numbers.com/movie/Frank-McKlusky-C-I
2002,January 25th,A Walk to Remember,Drama,4833792.0,41227069.0,46060861.0,11000000.0,,12177488.0,2411.0,5.3,,Coming of Age,Contemporary Fiction,https://www.the-numbers.com/movie/Walk-to-Remember-A
2002,June 21st,Zig Zag,,,1649.0,,,,1649.0,1.0,1.0,,,,https://www.the-numbers.com/movie/Zig-Zag
2002,May 10th,TakhtÃƒÂ© siah,Drama,,21324.0,,,,1500.0,5.0,2.0,,Foreign Language,,https://www.the-numbers.com/movie/Takhte-siah
2009,January 2nd,"Angry Monk: Reflections on Tibet, The",Documentary,,2125.0,,,,2125.0,1.0,1.0,,,Factual,https://www.the-numbers.com/movie/Angry-Monk-Reflections-on-Tibet-The
2002,June 7th,30 Years to Life,Comedy,,99023.0,,,,3376.0,1.0,3.3,,,,https://www.the-numbers.com/movie/30-Years-to-Life
2008,January 2nd,The Killing of John Lennon,Drama,,6975.0,,,,3077.0,1.0,3.0,,,Dramatization,https://www.the-numbers.com/movie/Killing-of-John-Lennon-The
2008,January 18th,Mad Money,Comedy,4375214.0,20668843.0,25044057.0,22000000.0,,7736452.0,2470.0,3.4,104.0,Heist,Contemporary Fiction,https://www.the-numbers.com/movie/Mad-Money
2008,January 18th,Little Chenier,Drama,,87939.0,,,,37318.0,17.0,1.7,,,Contemporary Fiction,https://www.the-numbers.com/movie/Little-Chenier
2008,February 1st,Over Her Dead Body,Comedy,14025947.0,7570127.0,21596074.0,10000000.0,,4025115.0,1977.0,2.3,95.0,Haunting,Fantasy,https://www.the-numbers.com/movie/Over-Her-Dead-Body
2008,February 15th,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias,Drama,1800000.0,807117.0,2607117.0,,,80655.0,18.0,11.2,103.0,Soccer,Historical Fiction,https://www.the-numbers.com/movie/Ano-em-Que-Meus-Pais-Sairam-de-Ferias-O
2008,February 15th,120,Drama,1334204.0,,1334204.0,,,,,,114.0,,Historical Fiction,https://www.the-numbers.com/movie/120-(Turkey)
2008,February 29th,The Other Boleyn Girl,Drama,51455013.0,26814957.0,78269970.0,40000000.0,,8203061.0,1166.0,5.9,115.0,Royalty,Historical Fiction,https://www.the-numbers.com/movie/Other-Boleyn-Girl-The
2008,February 29th,A Lawyer Walks into a Bar,Documentary,,5202.0,,,,985.0,1.0,10.0,,,Factual,https://www.the-numbers.com/movie/Lawyer-Walks-into-a-Bar-A
2008,March 8th,La Rondine,Concert/Performance,,49088.0,,,,,,,106.0,TV Movie,Factual,https://www.the-numbers.com/movie/Rondine-La
2011,December 30th,Jodaeiye Nader az Simin,Drama,17327677.0,7098492.0,24426169.0,800000.0,,59481.0,3.0,7.0,123.0,Dysfunctional Family,Contemporary Fiction,https://www.the-numbers.com/movie/Jodaeiye-Nader-az-Simin
2011,December 28th,Pariah,Drama,,769552.0,,,,48579.0,4.0,6.8,86.0,LGBTQ+,Contemporary Fiction,https://www.the-numbers.com/movie/Pariah-(2011)
2011,December 25th,War Horse,Drama,76932170.0,79883359.0,156815529.0,70000000.0,,7515402.0,2376.0,6.3,146.0,World War I,Contemporary Fiction,https://www.the-numbers.com/movie/War-Horse
2011,April 6th,Habemus Papam,Comedy,9917173.0,486902.0,10404075.0,,,31368.0,3.0,6.1,104.0,Religious,Contemporary Fiction,https://www.the-numbers.com/movie/Habemus-Papam
