salesid,theater_count,international,domestic
1,5,1695679,34099640
2,1103,2498725,57176582
3,2280,597626,14218868
4,1971,,20035310
5,1751,1760079,16500786
6,750,,2954405
7,,,378562
8,4,,185577
9,4,,1067773
10,296,,1638202
11,113,,167085
12,3467,72700000,89138076
13,4,,299351
14,1,,233076
15,2664,2444624,60008303
16,2547,,39778599
17,2723,50605267,45542421
18,1,,261360
19,1335,11809674,16963963
20,2618,15829814,36037909
21,1832,13947000,39235088
22,1,,1703901
23,2910,28265375,57262492
24,,,9480
25,19,,467313
26,2204,,23360779
27,10,,221898
28,1253,14033031,19389454
29,678,,9821335
30,1981,553184,15427192
31,14,7342262,3330230
32,2007,9372190,14983572
33,2248,,6291602
34,1,,5373
35,7,227064,144583
36,3054,45125385,60874615
37,1586,39740562,18653746
38,2848,132256558,125548685
39,2587,58734556,53302314
40,1,,5518
41,1,,11132
42,2641,35063424,55973336
43,3,,316431
44,2,,10281
45,1714,350980,10494147
46,5,,1810145
47,62,,327418
48,1,,142544
49,2,,270419
50,1183,20604608,27277055
51,802,,3434515
52,3218,14897339,50802661
53,2412,,35007180
54,1284,,5241315
55,5,745237,642018
56,2585,,12372410
57,24,,73613
58,2007,,32662299
59,3155,10397073,61322858
60,19,,26822
61,1,,612192
62,2523,25028457,37035515
63,1236,19200000,15070285
64,2152,8300000,37036404
65,1,,199086
66,1,,769472
67,,,20021
68,10,,42327
69,1538,,5658940
70,19,870000,6201143
71,1,,31065
72,1525,7482450,5108820
73,1237,268503,27441122
74,3,,469974
75,18,5760295,4859475
76,2583,50544000,77086030
77,2,,1816792
78,6,,31844
79,2621,23095967,44983704
80,8,563344,3150107
81,3040,24200000,35231365
82,2,3341,7235
83,2437,7090880,33771174
84,19,,77313
85,2938,268751783,187683805
86,5,5318483,104257
87,2112,7748805,6543194
88,51,,428535
89,113,,609042
90,89,806952,2933161
91,3307,8253978,21471685
92,1506,4160184,17200925
93,1,,3742
94,4,842382,1577287
95,688,,4714090
96,3,,736812
97,1759,,6982680
98,3257,218400000,137748063
99,2,,51380
100,2530,51213501,68525609
101,865,12668118,17266359
102,4,,80739
103,104,,769009
104,2711,14257530,56932305
105,2802,56000000,117559438
106,2,,313039
107,100,,101431
108,5,,287724
109,9,52211,1115313
110,2,,284291
111,2,,15645
112,1983,,21799652
113,1,405464,1282084
114,2337,36862240,70327868
115,1,,110719
116,2734,14000000,22751979
117,2491,121000000,106793915
118,3019,58700000,90570999
