,movieid,userscore,metascore
0,1,7.2,59
1,2,8.1,72
2,3,7.9,61
3,4,6.3,41
4,5,5.8,19
5,6,5.4,13
7,8,1.8,29
13,14,8.4,42
15,16,8.2,56
17,18,3.0,37
18,19,8.0,34
19,20,8.2,43
20,21,6.9,53
22,23,2.5,63
23,24,6.8,33
24,25,7.7,73
25,26,8.7,49
27,28,8.6,47
31,32,1.5,37
34,35,8.0,73
35,36,4.5,11
36,37,7.6,25
37,38,7.8,67
38,39,7.6,25
39,40,6.5,41
42,43,6.6,34
43,44,8.7,44
44,45,8.0,73
45,46,8.2,73
46,47,8.7,36
48,49,6.6,56
50,51,7.2,52
51,52,6.7,68
52,53,7.3,36
53,54,8.6,25
54,55,7.0,74
55,56,8.5,80
56,57,7.3,59
57,58,6.6,20
58,59,4.1,40
59,60,7.6,91
60,61,8.5,79
61,62,8.0,32
62,63,7.3,51
63,64,7.0,24
64,65,5.6,47
68,69,8.4,23
70,71,6.5,54
71,72,6.5,45
73,74,7.0,82
74,75,6.0,46
75,76,8.7,64
76,77,6.6,74
77,78,8.4,60
78,79,7.4,80
79,80,5.3,69
80,81,5.8,75
83,84,6.6,75
85,86,1.1,31
87,88,8.0,70
89,90,7.4,76
90,91,6.8,62
92,93,5.3,44
93,94,8.8,67
94,95,7.0,56
95,96,4.1,27
96,97,7.3,47
97,98,1.4,65
98,99,6.9,30
100,101,8.8,67
101,102,8.5,53
102,103,7.2,33
103,104,6.8,34
104,105,6.5,66
106,107,6.0,57
109,110,6.6,57
110,111,2.0,9
111,112,4.8,52
113,114,6.4,70
114,115,5.3,21
115,116,4.0,70
116,117,8.1,7
118,119,7.4,55
119,120,7.3,56
121,122,5.0,55
122,123,6.7,69
123,124,8.0,59
124,125,2.6,36
126,127,8.6,44
127,128,5.2,28
128,129,8.5,77
129,130,5.8,30
130,131,6.5,33
131,132,7.9,64
132,133,5.0,22
133,134,8.4,78
134,135,5.2,59
135,136,8.1,35
136,137,8.5,54
137,138,6.6,35
139,140,8.1,71
140,141,6.9,29
141,142,7.2,69
142,143,7.4,77
143,144,6.8,76
144,145,4.0,72
145,146,8.1,50
147,148,8.4,48
148,149,8.0,88
149,150,7.8,49
151,152,6.8,63
153,154,5.8,36
154,155,6.1,59
155,156,6.0,39
156,157,7.7,39
157,158,7.4,81
158,159,3.8,48
161,162,6.4,45
162,163,7.6,76
163,164,8.3,26
164,165,6.5,56
165,166,8.1,58
166,167,6.4,73
167,168,7.8,64
168,169,2.4,14
173,174,8.7,35
174,175,7.6,28
175,176,6.1,69
176,177,6.9,51
177,178,5.8,19
179,180,7.4,75
180,181,5.6,38
181,182,7.6,86
182,183,8.4,71
184,185,5.9,27
185,186,4.8,24
186,187,8.5,42
187,188,6.9,62
188,189,6.3,73
189,190,8.0,70
191,192,7.0,72
192,193,7.0,67
193,194,7.4,24
194,195,3.9,17
195,196,7.2,57
196,197,7.7,80
197,198,7.9,33
199,200,8.2,30
200,201,7.0,41
202,203,4.6,36
204,205,8.7,40
205,206,5.9,73
206,207,8.0,47
207,208,4.3,52
210,211,7.0,44
211,212,7.2,52
213,214,7.1,58
214,215,7.5,30
215,216,8.6,37
218,219,7.4,75
219,220,5.8,21
220,221,6.8,76
222,223,1.7,10
224,225,1.8,18
225,226,1.3,29
226,227,1.1,69
227,228,7.6,65
228,229,7.8,75
229,230,1.3,22
230,231,2.3,49
231,232,6.3,78
232,233,6.1,90
233,234,7.8,85
